Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,G,Gd,S,P↑,P↓,Y,ϴ1,ϴ2,ϴ3,ϴ4,W,Yd,Pd,Wd,E_Low,E_High,Ö,Öd,I,Im,Id
2022-03-14 ,375.0,410.0,340.0,400.0,1413,0.0,0.0,58.11998779296875,-1.0,0.4008275020204741,0.4008275020204741,0.5991724979795259,0.001665886007971981,0.957390676528271,0.49782233217774546,0.4636476086168061,-0.46364760941680616,0.032421308887353485,0.45427824589062027,-0.19834499595905175,0.9999999905631046,336.3891397057138,413.97589681767676,0.6397349924593853,0.000672468941807669,-4.0,0.09096158664554167,0.010499771266982191
2022-03-15 ,405.0,405.0,359.5,374.0,969,0.0,0.0,58.10998779296875,-1.0,0.6633559788146709,0.6529572765652054,0.3366440211853291,-0.0011671181240502553,1.0969449887374085,0.8253768500063614,1.295886484401313,0.46364760862131893,0.2657740018957428,-0.9999996470179356,0.3163132553798763,0.7825498382688433,353.2857010038775,405.16249908560815,-0.20140410502636236,-0.4205695487428738,-5.0,0.11214099944410579,0.0897716549507602
2022-03-16 ,376.0,395.0,340.0,344.0,1558,0.0,0.0,58.09998779296875,-1.0,0.8299998256138392,0.8136163334037952,0.17000017438616077,-0.002269953267150115,0.5763752197235796,1.1814796041238267,0.3217505541120268,-0.3217505547120268,-0.5909110438699146,-0.3208646829561548,0.6436161590176345,-0.99999999883271,336.3891397057138,396.39600752094054,-0.7463336924001844,-0.272464793686911,-6.0,-0.10936934438861565,0.010589706399282056
2022-03-17 ,361.0,385.0,324.0,360.0,2741,0.0,0.0,58.08998779296875,-1.0,0.6754649743368459,0.6754649743368459,0.32453502566315406,0.0017210041696415859,1.0121970107603229,-1.0121970121985253,0.7853981629286982,-0.7853981639286983,-0.569928348170844,0.999999749433622,0.35092994867369187,0.018075451113101385,319.6984939183307,387.6769375295948,0.18571429237307335,0.4660239923866289,-5.0,-0.08911462259302429,-0.11075517191636072
2022-03-18 ,377.0,386.6000061035156,348.0,348.0,3208,0.0,0.0,58.07998779296875,-1.0,0.7170368863329476,0.7115089843429412,0.2829631136670524,-0.00010444648082731229,1.08734962311435,1.3734000304728937,1.1239538575120975,0.32175055410914216,0.12921903015973935,-0.9999994521903663,0.4285458706758888,0.9999999985696865,344.81199940093745,387.6769375295948,-0.8512536941068456,-0.5184839932399594,-6.0,0.09178961806854304,0.01012736089779568
2022-03-21 ,373.0,378.0,332.70001220703125,353.0,2725,0.0,0.0,58.06998779296875,-1.0,0.8178871520136444,0.8178871520136444,0.18211284798635563,4.727130057378046e-05,0.7270023415325962,-0.7270023432995436,0.46364760862694987,1.053763427843881,-0.6458389510514372,0.9999934088582129,0.6357743040272887,-0.999999998709774,328.01775386832827,379.0058189586369,-0.020074753280638645,0.41558947041310346,-5.0,-0.09020823916776129,0.09045212033078366
2022-03-22 ,360.0,439.0,360.0,394.0,3354,0.0,0.0,52.38999389648438,1.0,0.45556516431725547,0.5444348356827445,0.45556516431725547,0.0005876249930042691,0.9246774223046905,0.11065722106593881,1.4657974801758542,0.24335010412035263,0.4523094234318437,0.8510883538111373,0.08886967136548907,0.9999999990893762,353.2857010038775,440.6925767948098,-0.06839596707378319,-0.024160606896572272,-4.0,0.0911928009462784,-0.09099892861815216
2022-03-23 ,439.0,439.0,395.0,403.0,3130,0.0,0.0,52.37999389648437,1.0,0.4927563491211338,0.5072436508788662,0.4927563491211338,1.3477030535172716e-05,0.9246774223046905,0.1973955596607256,1.3296786474042492,0.17255252147339625,0.33663390597158827,-0.9551573357398413,0.01448730175773244,-0.1466208192686082,387.6769375295948,440.6925767948098,-0.42194180121222996,-0.17677291706922338,-3.0,0.11356487906216199,0.09070052005701984
2022-03-24 ,405.0,414.0,365.0,368.0,1460,0.0,0.0,52.369993896484374,1.0,0.4926622757330966,0.5073377242669034,0.4820400190632997,-0.006009263357820475,0.4475199746062379,0.7853981629113371,0.3805063767081503,1.3654009361730715,0.38377591359853286,-0.9999998339626532,0.025297705203603693,0.06543776372959094,361.809631670918,422.83569913177473,-0.7971238001383214,-0.18759099946304572,-4.0,0.14355810474609276,0.011186039057941799
2022-03-25 ,376.0,402.0,344.5,349.0,2792,0.0,0.0,52.359993896484376,1.0,0.5540740094866071,0.4459259905133929,0.5472958927257493,-0.0026004971566017453,0.4636476082174728,0.7853981629182816,0.2847304382183286,1.1138379900680315,-0.42132143701807867,0.3959187714443312,-0.10136990221235642,-0.9999999987579142,336.3891397057138,405.16249908560815,-0.6332632167946824,0.08193029167181948,-5.0,-0.13977701002968462,0.014996612841965386
2022-03-28 ,352.0,376.0,328.5,366.0,5213,0.0,0.0,52.34999389648438,1.0,0.47375560087316176,0.5262443991268382,0.47375560087316176,0.00217475223554263,0.14189705446954853,-0.14189705474954853,0.22810262793047226,1.3994171994409366,-0.49283837724759605,0.9999997905868974,0.052488798253676416,-0.07823242614173868,328.01775386832827,379.0058189586369,0.48984849941466585,0.5615558581046741,-4.0,-0.10975186292700267,-0.1416675573878887
2022-03-29 ,372.0,382.0,325.0,337.0,5003,0.0,0.0,52.33999389648437,1.0,0.5880898190616222,0.41191018093837783,0.5766379801934238,-1.743088725521929e-05,0.24497866290333473,0.394791118534081,0.6202494833037675,1.5208379300779413,0.38644685470430723,-0.9999995438339373,-0.164727799255046,0.9999999988627126,319.6984939183307,387.6769375295948,-0.4909708088977812,-0.4904096541562235,-5.0,0.11223495125533947,0.015012573551340974
