Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,G,Gd,S,P↑,P↓,Y,ϴ1,ϴ2,ϴ3,ϴ4,W,Yd,Pd,Wd,λ,E_Low,E_High,Ö,Öd,I,Im,Id
2025-09-19 ,83.5199966430664,83.98999786376953,81.27999877929688,82.30000305175781,592300,0.0,0.0,0.265001220703125,-1.0,0.0495329525765257,0.04939789557079543,0.9504670474234743,-0.006098632347766607,0.23346601705274897,1.468593578850291,0.49642138741701364,0.08314123187641659,0.03398550511793566,-0.999999950390452,-0.9010691518526789,0.9999999860289395,0.49752612463573204,79.0949775382717,85.03909937760098,0.07838486494030514,-0.14050641028514016,-9.0,0.05918120611844759,0.0036990055669380295
2025-09-22 ,81.75,82.69000244140625,80.87999725341797,82.20999908447266,1172300,0.0,0.0,0.25500122070312503,-1.0,0.05944083130149619,0.05942642190468617,0.9405591686985038,-0.0005471033135761807,0.07130746476889066,1.4332088807232337,0.2281010118309953,0.2366675843233108,-0.03779082266126555,0.8353519432214044,-0.8811327467938176,-0.9999999860678302,0.49927501863429086,79.20012612952178,85.15165890917866,0.01146143905425256,-0.03346171294302629,-10.0,-0.058663140630183436,0.058898996348463004
2025-09-23 ,82.98999786376953,84.25,81.66999816894531,82.0199966430664,1232100,0.0,0.0,0.25000213623046874,1.0,0.058275543794315834,0.9417244562056841,0.05824564075583443,-0.0011569289797794793,1.4118892291710001,0.19739555978084744,1.4749360604838606,0.37613293346235105,-0.054071737030305496,-0.35787191986278755,0.8834788154498497,-0.17723122724287196,0.5010358821353529,79.30573207341884,85.26470850647954,-0.08901651141521746,-0.050238975234735014,-11.0,-0.052618820218303365,-0.05892217337431552
2025-09-24 ,83.75,84.98999786376953,81.70999908447266,82.55000305175781,1033300,0.0,0.0,0.24000213623046876,1.0,0.05839467167620186,0.9416053283237982,0.05839467167620186,0.003220553014973817,1.0049395176715759,0.16514867747160336,1.423227027885827,1.2571681057013278,-0.04801863565718259,0.9999997715582216,0.8832106566475963,0.05929159777250142,0.5029866681172236,79.42242306361975,85.38962503769935,0.04825678825672821,0.06863664983597284,-10.0,-0.04759461276618717,0.0030221602059400353
2025-09-25 ,83.0,84.5,81.0199966430664,82.0,636500,0.0,0.0,0.23000213623046875,1.0,0.05596158201319458,0.9440384179868054,0.055878325515213836,-0.0033424675877083616,0.4388623368586309,1.0729754781224246,0.3217505545314232,1.370616797261306,0.046503316178884875,-0.9999998476311582,0.8881600924715916,0.9999999894204471,0.504732783044283,79.52660063609281,85.50114657308454,-0.17202097361775398,-0.1101388809372411,-11.0,0.04768658252225243,0.0025121037260580972
2025-09-26 ,81.79000091552734,83.94999694824219,81.56999969482422,82.83999633789062,767800,0.0,0.0,0.22000213623046874,1.0,0.055416138182321335,0.9445838618176786,0.055416138182321335,0.005095828418782492,0.5201203137763695,0.7853981632942755,1.3521273791831403,0.5201203137763695,-0.050050601877780584,0.9999998814926757,0.8891677236353572,-0.9999999896430926,0.5084514554727533,79.74762149541533,85.73774975445113,0.032490360383973856,0.10225566700086391,-10.0,-0.04754820267294709,0.047640597644219795
2025-09-29 ,83.5,84.58999633789062,82.69999694824219,83.33000183105469,744800,0.0,0.0,0.079996337890625,1.0,0.020150204859749866,0.9798497951402502,0.020150204859749866,0.0029488204764007587,1.1046345897494008,0.3925704389883855,0.7853981630425861,0.23035117745529596,0.04932319710195611,-0.2668864363714894,0.9596995902805003,0.9999999899369854,0.5055950024839125,79.5779490436467,85.55611493969917,0.2552521467354844,0.11138089317575528,-9.0,0.04772557783121067,-0.047617392597599756
2025-09-30 ,83.98999786376953,85.72000122070312,82.55999755859375,84.9000015258789,1392600,0.0,0.0,0.069996337890625,1.0,0.014892823343976598,0.9851071766560234,0.014892823343976598,0.009332459510763669,0.8463575578604063,0.09065988719037193,0.6330344242531141,0.20462648835718758,0.017457733329452815,0.5197860908023082,0.9702143533120469,-0.4771641109143932,0.503650030404432,79.46203092240447,91.51151175172961,-0.09739337643683363,-0.176322761586159,-8.0,0.05269995523506641,0.04763689025207888
2025-10-01 ,83.5999984741211,85.0,82.1500015258789,82.4000015258789,866900,0.0,0.0,0.059996337890625,1.0,0.014456943573754157,0.9855430564262458,0.014358989574018587,-0.01494321550745323,0.3217505545133081,0.8638846920845955,0.5295945564662102,0.8926763050910349,0.012046442258781445,-0.9999999588065025,0.9711840668522272,-0.18340762889920123,0.5007423371182427,79.28814523039225,85.24588201852055,0.044643765285229356,0.0710185708610315,-9.0,0.05906284773593929,0.0024871887019278713
2025-10-02 ,82.48999786376953,83.52999877929688,81.9000015258789,82.87000274658203,504800,0.0,0.0,0.049996337890625,1.0,0.013088047613816794,0.9869119523861832,0.013088047613816794,0.002843838618944367,0.12435499450741024,1.0516524478085738,0.6338321826709945,1.1487895324824784,-0.013497276840781912,0.9999999437793389,0.9738239047723665,-0.9999999608514345,0.5012165786737597,79.31655433323185,85.27629360220732,0.19248452084206752,0.07392037777841909,-8.0,-0.05842496660335289,0.00318144625043644
