Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,G,Gd,S,P↑,P↓,Y,Yd,Ydd,ϴ1,ϴ2,ϴ3,ϴ4,W,Wd,Pd,λ,E_Low,E_High,Ö,Öd,Ödd,I,Im,Id,M,Mσ,R
2025-07-16 ,114.01706991971209,116.38807201991838,113.09058750251695,116.29840850830078,1973600,0.0,0.0,0.753844768745435,1.0,0.08923429432252035,0.9107657056774796,0.08923429432252035,0.012840516371446583,0.0002281905570499627,2.2438285085174813e-06,0.8028264324426755,0.761797068696571,0.11065722108929324,1.4726131663481,-0.7771807268309874,-0.22810041682187204,0.8215314113549592,7.582040773801865,109.62639723362386,122.59300757338818,0.003185283272273646,-0.0015445357272216378,5.149703002292962e-05,144.0,-0.003446113149259875,-1.2311378995135281e-05,0.0348457877045195,0.00019231925568254438,119.20455812312842
2025-07-17 ,116.29840772501684,117.91228251844883,116.0991673013741,117.03561401367188,1330800,0.0,0.0,0.743844768745435,1.0,0.1000897068320997,0.8999102931679003,0.1000897068320997,0.0031594428339385113,-3.228225074412097e-05,-5.186573763541762e-07,0.09065988713517524,1.0533868844459744,1.0319600284446788,1.5017318562363111,0.546159699017356,0.6616702129241716,0.7998205863358006,7.567701257797137,109.55524279604343,122.51355887576598,0.010152966249115453,-0.001206513483920341,4.934508962394528e-05,145.0,0.0035037107512315806,2.4092520490381995e-06,0.008450091809128998,0.0012933555961420716,6.064562293018125
2025-07-18 ,117.623374214989,117.83257893220404,115.0630961035462,116.45780181884766,886800,0.0,0.0,0.733844768745435,1.0,0.10538344243241829,0.8947202680425046,0.1052797319574954,-0.002474640206722885,-3.259140212373975e-05,6.963151355803351e-07,0.7525829228581632,0.5819462660464398,1.093994295868768,0.321750554196357,0.15187721358757583,-0.19714124271489006,0.7894405360850092,7.563808434480592,109.5359104004311,122.49197297347654,0.005380018519337722,-0.0010699183026911302,4.5920363201633314e-05,144.0,0.003465022358228024,0.003474911950245728,-0.006573294789685246,0.0002444688780317626,19.082405433094422
2025-07-21 ,117.82261500179963,118.91846009618396,116.08919905332723,116.20874786376952,866100,0.0,0.0,0.723844768745435,1.0,0.12420394528391326,0.8758476945345398,0.12415230546546023,-0.0010704330098928112,1.0953596917524464e-05,9.662199112464439e-07,1.4901571337396105,0.9387069629287236,0.7607696720874391,0.7853981631509326,-0.12015169901288725,-0.13601445630023154,0.7516953890690796,7.5591142464652314,109.51258934893235,122.46593347963037,0.003451918836624201,-0.0009103284331872134,4.3210352108469255e-05,143.0,-0.0034564016445279844,-1.9344196501778306e-05,-0.0027747321169598917,-0.00015809125463379128,47.765057485018566
2025-07-22 ,121.18983670010864,126.76865208923311,120.54229393160873,126.11114501953124,2918000,0.0,0.0,0.713844768745435,1.0,0.06098341416830571,0.9390165858316943,0.06098341416830571,0.040864978264622424,1.3100983342884874e-05,6.245651539909151e-07,0.7853981633377072,0.2557431978871126,1.5532436885319774,0.26994705711378664,-0.04993602994035583,0.03510783453626571,0.8780331716633887,7.739962431919637,110.40407290066572,123.46133939680118,0.07712607589779252,-0.0007813497056106367,4.023838719515734e-05,144.0,-0.0034826665448322394,-0.003460712001378004,0.1153112453294783,0.015237820289914487,7.518098605269367
2025-07-23 ,128.571805548338,128.571805548338,125.31417823941776,126.27054595947266,1960300,0.0,0.0,0.703844768745435,1.0,0.05210303557286131,0.9478969644271387,0.05210303557286131,0.0006315867816048563,-0.0003926871973186631,4.4054279490474736e-07,1.0845083739710493,0.008928334172046134,1.4063645274339986,0.015738540144492,0.9776609943573065,0.5137985121488311,0.8957939288542773,8.068013467050692,125.22759463688288,125.22759463688288,0.008293956359305719,-0.001403621830828815,3.733146390285828e-05,145.0,0.0035430988116915466,-1.3132450152127497e-05,0.0018047989511349553,0.013446750778077218,0.1332274418198991
2025-07-24 ,125.50345675829593,126.06133600505696,121.36915351038812,122.15616607666016,1726800,0.0,0.0,0.6938447687454351,1.0,0.05558492683581438,0.9448104531773748,0.055189546822625245,-0.016561745108207515,-0.0001901453561470526,4.2704717370888905e-06,1.157350856913803,0.026244824051444494,0.7853981629901076,0.009919092380809569,0.03231549202141643,-0.472672751167945,0.8896209063547496,8.500367981321299,114.00563226971255,114.00563226971255,0.06905242292791493,-0.0009726922468583133,4.165818235595719e-05,144.0,0.003461174091782625,0.003512882678261893,-0.047118465317902605,0.005371388631946575,8.611792816687398
2025-07-25 ,122.82363930108882,123.08265794299608,120.96071010056426,122.5745849609375,947200,0.0,0.0,0.6838447687454351,1.0,0.08516642124542945,0.9148335787545705,0.08516642124542945,0.0017097111111021052,3.746306082001223e-05,4.04785371184625e-06,0.7589272314813051,0.7853981629674481,0.5430143647631378,1.3988704968431256,-0.6377989982402753,-0.3350572451308459,0.829667157509141,8.052556817808906,125.14547449119969,125.14547449119969,-0.020757155015734198,-0.001401424566493115,3.882863056999474e-05,145.0,-0.003434157167783739,-4.096235995446084e-05,0.004665374193681908,0.005277253373511286,0.8676128628537121
2025-07-28 ,122.17608756528826,123.91946781890314,121.04040046526192,122.853515625,1077700,0.0,0.0,0.6738447687454351,1.0,0.08853453137846735,0.9114654686215327,0.08853453137846735,0.0011365066322746994,-3.386544611453825e-05,2.038354034984189e-06,0.336229757785906,0.7853981630175194,1.1969123978083056,1.4376167896195953,0.08100771790172134,0.3594033580709983,0.8229309372430653,8.097968241237625,125.38644044809392,125.38644044809392,-0.02040777618049166,-0.0006991357174600986,4.17188076576914e-05,146.0,0.0034628192762782206,-0.003447665629783182,0.003087100873862018,0.004985233040224717,0.6070716620935033
2025-07-29 ,123.0129208483586,123.68038464398852,122.10635941804188,122.4052276611328,1198800,0.0,0.0,0.6638447687454351,1.0,0.13014966813400516,0.8699422204323263,0.13005777956767373,-0.0018278164434048472,-4.230878926148697e-05,1.9240410576268127e-06,0.7853981631308894,0.9075106425373297,1.4184959855522616,1.4965211979535111,0.054294724341135484,-0.01335649678029293,0.7398844408646525,9.036956829296951,116.41801592217453,116.41801592217453,0.050149779531499836,-0.00037495550254214934,3.587713312675e-05,145.0,0.0034381518686145713,0.00344848822203098,-0.004702720160341696,0.0036935059468158624,1.2396764961681415
2025-07-30 ,122.3055948252209,122.61442735721197,117.9322014773794,118.99815368652344,1633200,0.0,0.0,3.0981989878825313,-1.0,0.5174647011099969,0.5158635945162728,0.48413640548372716,-0.014113613303960623,-4.212588192514344e-06,1.848433518672648e-06,1.2810601081102584,1.2140711725737763,0.7853981630533174,0.6449917226346075,-0.09835337912636098,-0.07632405173374823,0.03172718903254568,9.604047661543266,118.86462559411402,118.86462559411402,0.0011227322478915807,-0.0008551396590793474,2.9764617329479085e-05,144.0,-0.0034336372035365065,-1.2333703831824642e-05,-0.02824143476784273,-0.0005644861484719498,60.80145739706212
2025-07-31 ,117.55364600099448,119.62577989022516,117.05553733149873,117.91228485107422,1230500,0.0,0.0,3.088198987882531,-1.0,0.44991699632586574,0.4494106068909272,0.5505893931090728,-0.004583457116335089,0.00013458467680130338,1.271340336113281e-06,0.5100398541492986,0.846083794374999,0.14189705449770362,1.1550110511235574,-0.5843050981172372,-0.2429758594954381,-0.10117878621814563,9.509184926397392,118.46227716111423,118.46227716111423,-0.004653574377033266,-0.0005325260230489863,3.084474205334723e-05,143.0,-0.003438093275010014,-0.003435894536075539,-0.00921387579813771,-0.001717738101760718,5.695529942769777
2025-08-01 ,119.4564179743704,122.0864309917212,117.26473539288833,121.4488525390625,1673100,0.0,0.0,3.0781989878825313,-1.0,0.4646445182335325,0.4646445182335325,0.5353554817664675,0.014775028755917049,0.00010421470057889878,-4.4646759572182217e-07,0.124354994464866,1.3384034322618783,0.40283513957250106,1.2580699023296829,-0.24023344819878015,0.17203582495922853,-0.07071096353293504,9.690993594146333,119.23104762902526,119.23104762902526,0.01843001999039134,-0.00032562874801629437,2.70450167143089e-05,144.0,-0.0034771978928050404,-2.228035736753786e-06,0.029623964038926903,0.002461155516997632,11.566640074107728
2025-08-04 ,121.78756341526108,124.8459501843264,121.3990392811202,124.51719665527344,1003600,0.0,0.0,3.068198987882531,-1.0,0.3938429253808895,0.3938429253808895,0.6061570746191105,0.012474665207907054,-9.351695344307662e-05,-9.918326962685819e-07,1.3594255863461218,0.46364760876336475,1.3059143130201254,1.4023724225095244,0.6321657744222812,0.43619961131053064,-0.212314149238221,9.527104079171039,118.53848579945208,118.53848579945208,0.049206149585221653,-0.00043385835426726436,2.2533973101406924e-05,145.0,0.0035065595101053996,-1.955230889751319e-05,0.025513770130894096,0.00553483746551716,4.527862655671553
2025-08-05 ,124.50723891164876,127.87445057950376,124.50723891164876,126.68894958496094,1066600,0.0,0.0,3.0581989878825313,-1.0,0.2826715509939459,0.2826715509939459,0.7173284490060541,0.008645301726059686,-0.00017737677915162823,5.998561864940528e-07,1.2848753252422833,0.21084708192566165,1.2798901568313503,0.14189705449802692,0.7000337374663128,0.03393398152201582,-0.43465689801210816,9.518706885014602,118.50278529684594,118.50278529684594,0.06679840144292115,-0.0007920224348239783,2.072324192228329e-05,146.0,0.003478926465662567,0.0034918787014552198,0.018949808488127218,0.007323500268531835,2.5526783596217166
2025-08-06 ,127.33649582979044,128.0238806030034,125.2842906102979,125.39387512207033,1369500,0.0,0.0,3.048198987882531,-1.0,0.28331237550514776,0.28284641601188454,0.7171535839881155,-0.005137495838503621,-0.00017677056488015237,2.256422634579847e-06,1.3500913427063943,0.11354467203227525,1.31678769316097,0.11065722109945134,0.5679573741147618,-0.06603818167577552,-0.4343071679762309,8.58521140691903,114.39378347336176,127.91627696500966,0.035948433828043726,-0.0011554465930257464,2.288544651165341e-05,145.0,0.003449392308399427,-1.381652222141633e-05,-0.011259368235297254,0.00484578446802129,2.2765586143307823
2025-08-07 ,127.11732775520964,128.70131723685893,125.27432724428736,125.36398315429688,1143600,0.0,0.0,3.0381989878825313,-1.0,0.41606181061553055,0.4160489866234185,0.5839510133765815,-0.0001192065045495282,-5.234927343346085e-05,3.0352477856842504e-06,0.9566335680466818,0.4795274955745939,1.5323524182660835,0.09966865251956952,-0.26966096747774565,-0.4188091707962537,-0.16790202675316301,8.276386766030635,126.32444291569941,126.32444291569941,-0.007632169970057535,-0.0010553531814759853,2.7259494528350698e-05,144.0,-0.0034285451870766782,-1.4767078631569954e-05,-0.00024178147271415807,0.004167442342589897,0.05665723243665939
2025-08-08 ,125.61303941748602,126.22073259647104,124.52716617668216,125.30421447753906,898200,0.0,0.0,3.028198987882531,-1.0,0.7220177481379735,0.7219965525334391,0.27800344746656086,-0.00023843741377036024,-5.046827596636323e-05,2.3127008544152272e-06,0.7853981631229603,0.026388166856809673,1.0624260875146079,0.04658531250761708,-0.006062544519194709,0.13179921147927548,0.4439931050668782,8.292611690548508,126.40906282776955,126.40906282776955,-0.008778682296791566,-0.0006182083740410284,2.8416425370985845e-05,143.0,-0.00346002497445694,-0.0034389687477380526,-0.0005246552008953511,0.003541829336791864,0.14406364284975717
2025-08-11 ,125.47356741135856,126.29046530321084,121.66801758338308,123.71026611328124,1163000,0.0,0.0,3.0181989878825313,-1.0,0.42912987311594775,0.42842759189109186,0.5715724081089082,-0.006401026801638082,-4.229083129471105e-05,2.0936084063432914e-06,0.24497866298642434,1.0647211891950243,0.6927697945145483,1.56008567674888,-0.012737676079147837,-0.003337565779976564,-0.14314481621781633,8.102444826120275,125.4101450361122,125.4101450361122,-0.013647258352794765,-0.0004091362186244416,2.500368518684135e-05,142.0,-0.0034839526269296118,-1.573989369013087e-05,-0.012933437561968042,0.0013451270836238767,8.94968872186346
2025-08-12 ,125.27432514139268,127.97408070567384,123.50105956820047,127.8047103881836,1352400,0.0,0.0,3.008198987882531,-1.0,0.42770806535960426,0.42770806535960426,0.5722919346403957,0.01627912711940838,5.249007541401892e-05,1.9278182270880924e-06,0.4429421799018731,1.4494488442614053,0.19739555972483352,1.4769960344740523,-0.4392087638974897,-0.21323554390917093,-0.14458386928079148,8.081296045035133,125.29807926701262,125.29807926701262,0.019807866051327772,-0.00018664518624866004,2.154886935378308e-05,143.0,-0.003498725628633322,-1.1963826236335894e-05,0.032899154416433374,0.005552330727998476,5.8204581436591125
2025-08-13 ,129.28907805020188,134.25023587393102,128.87066861456876,132.8455810546875,2145000,0.0,0.0,2.9981989878825313,-1.0,0.2382885846238138,0.2382885846238138,0.7617114153761861,0.019339593439928134,-0.00013988183804765396,6.441545177796741e-07,1.193105591876395,0.34813621164457065,0.8723269578432798,0.3217505542603046,0.7928424814194417,0.6160256226584657,-0.5234228307523723,8.11773668622515,125.49105246415678,125.49105246415678,0.056952948061694875,-0.0004093498230838255,1.7087634950577912e-05,144.0,0.0035333841357697436,-7.386500851855066e-06,0.04409976342712576,0.010691988421215447,4.0863427299859
2025-08-14 ,129.32893376885366,130.65388936593993,128.91050913695676,130.51441955566406,1504300,0.0,0.0,2.988198987882531,-1.0,0.23749381221015187,0.23677331202556728,0.7632266879744327,-0.00885161563495155,-0.0002706313160214541,1.947100260315041e-06,1.4763333582055926,0.007751782705690467,1.2856699827027973,0.009060442548373779,0.9305006454559842,0.06882908201827126,-0.5264533759488654,7.861588223105732,124.12197566190127,124.12197566190127,0.050218958531201036,-0.0008252296508999043,1.687839068556263e-05,143.0,0.003513205531417804,0.0035160548822015325,-0.02021367111485868,0.006571233816405564,3.0299749148576134
