Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Low_High_Avg,RV,Sd,Rs,G,Rf,Sf,R*,Ss,P↑,P↓,Y_High,Y_Close,Y_Low,cos_θ1,sin_θ1,cos_θ2,sin_θ2,cos_θ3,sin_θ3,cos_θ4,sin_θ4
2016-01-27,70.14748261353337,71.02684151405938,69.66309467256927,70.3039779663086,3905600,0.0,0.0,70.34496809331432,0.002859986380560735,1.0,0.22357940673828125,0.0,0.22357940673828125,0.0,-1.1923446655273438,0.03516089917182245,0.008790224792955612,0.9912097752070443,0.00726898057548749,0.002746808982483375,0.0005539358709025739,0.9914614547340419,-0.1304000911681328,1.0,0.0,1.0,0.0,0.9935279847855352,0.11358760252771118
2016-01-28,70.99703686721655,70.99703686721655,69.36501054323195,69.67054748535156,4074700,0.0,0.0,70.18102370522425,0.0029569308368244396,-1.0,-0.6334304809570312,0.2533501689809725,-0.6334304809570312,0.15997218644147718,0.22357940673828125,2.0,0.34002781355852285,0.6599721864414771,-0.0004378854199366855,-0.00944251812362122,-0.0044737748407545335,0.994826042123431,-0.10159304067223096,1.0,0.0,1.0,0.0,0.9981682006287195,0.06049994424480401
2016-01-29,70.20707852884323,71.98069763183594,69.46185955833998,71.98069763183594,6245300,0.0,0.0,70.72127859508797,0.004682369263950542,1.0,2.310150146484375,0.953856117776553,2.310150146484375,0.17048466639038218,-0.6334304809570312,2.0,0.6704846663903822,0.3295153336096178,0.021089418207653705,0.04999280127739095,0.002138500408376727,0.9980593171462379,-0.0622703738352787,0.9988185087819926,0.048596157404844784,1.0,0.0,0.998006911593353,0.06310470990264738
2016-02-01,71.45908581618725,72.94952457457777,71.21316205651539,72.52474975585938,3915200,0.0,0.0,72.08134331554658,0.0029575799591926885,1.0,2.8542022705078125,0.0,2.8542022705078125,0.0,-0.6334304809570312,2.0,0.5,0.5,0.008381425565657543,0.004720488390794449,0.015608990606691847,0.9995882996428699,-0.028692006152865955,0.98993031632553,0.14155553263520318,1.0,0.0,0.8608799791159549,0.5088080792964209
2016-02-02,71.65282073030528,71.84657929672406,70.59461092664328,70.75110626220703,4437800,0.0,0.0,71.22059511168368,0.00327037281819966,-1.0,-1.7736434936523438,0.0,-1.7736434936523438,0.0,2.8542022705078125,0.3861563364876031,0.9034609158780992,0.09653908412190078,-0.017267953041636308,-0.028063193299369422,-0.009888247708596996,0.8269095167230139,-0.5623349990467529,0.9997794352191473,0.021001926408856245,1.0,0.0,0.9695206717786724,0.2450095242920808
2016-02-03,71.22059000946439,71.56339011728662,69.94626601552613,71.07154846191406,5070200,0.0,0.0,70.75482806640638,0.003753333649673819,-1.0,-1.4532012939453125,0.0,0.32044219970703125,0.0,2.8542022705078125,0.2592280883542835,0.5,0.5,-0.0045121618853187885,0.0051628731485524005,-0.010541218318317398,0.9171896357893276,-0.39845096561639887,1.0,0.0,1.0,0.0,0.9958773850655879,0.09070961313403822
2016-02-04,70.83306924254447,71.2056787479012,69.98352002517667,70.52007293701172,4686800,0.0,0.0,70.59459938653893,0.0034425913869210044,-1.0,-2.0046768188476562,0.0,-0.5514755249023438,0.0,2.8542022705078125,0.49330923106083335,0.8766726922347916,0.12332730776520834,-0.004632121504240495,-0.00720062201154435,0.0004922029118523837,0.9373888574187788,-0.34828455318477236,1.0,0.0,1.0,0.0,0.9968886607595485,0.0788225732200727
2016-02-05,70.46047694140127,70.63932795568269,68.97748665437196,69.3799057006836,6353500,0.0,0.0,69.80840730502732,0.004591377940204685,-1.0,-3.1448440551757812,0.0,-1.6916427612304688,0.0,2.8542022705078125,1.2140280884576535,0.6964929778855866,0.3035070221144134,-0.010825253341418992,-0.022096196200799223,-0.01962845170978341,0.9368803863682187,-0.3496500273681348,1.0,0.0,0.9991302018365814,-0.041699397813304104,0.9999644991303195,0.008426178199473288
2016-02-08,68.72411194227223,68.84334405154428,66.50335634067423,66.80889892578125,9664800,0.0,0.0,67.67335019610925,0.0067254831560361475,-1.0,-5.715850830078125,0.0,-4.2626495361328125,0.0,2.8542022705078125,2.0,0.5,0.5,-0.03917346740978131,-0.05743434146071643,-0.05555901183900376,0.8968444906937029,-0.44234597264172393,1.0,0.0,0.9711564109286385,-0.23844333815857702,6.123233995736766e-17,-1.0
2016-02-09,64.84897186953475,68.5303565134827,64.46146038965293,67.44979095458984,11876900,0.0,0.0,66.49590845156781,0.00834410982556657,-1.0,-5.074958801269531,0.0,0.6408920288085938,0.0,2.8542022705078125,2.0,0.5,0.5,-0.005599685973806635,0.011732287295509514,-0.03831944343614829,0.9265835657579105,-0.3760889464838816,1.0,0.0,0.9474111116365298,-0.32001903935177817,6.123233995736766e-17,-1.0
