Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,G,Gd,S,P↑,P↓,Y,ϴ1,ϴ2,ϴ3,ϴ4,W,Yd,Pd,Wd,λ,E_High,E_Low,Ö,Öd,Ödd,I,Im,Id
2016-04-14 ,36.379829864747705,36.61464562552104,36.2959648079538,36.48884963989258,3118700,0.0,0.0,0.0866816244436717,1.0,0.0663757647644778,0.9336242352355222,0.0663757647644778,0.0018420054324862715,-1.1902895055880287,1.1902895038638914,-0.7853981648911386,0.7853981638911386,0.0179875557042472,-0.6662341029425226,0.8672484704710444,-0.7458577692556787,11403.065331020514,23.853951676063705,85.4857700548678,-0.21314318655987263,0.027390004432548326,0.015011230233510364,9.0,0.0669339805001763,-0.006951606194968402
2016-04-15 ,36.50560690202809,36.522379906150675,36.212087327691435,36.404972076416016,3620400,0.0,0.0,0.07668162444367169,1.0,0.05871834426844051,0.9412816557315595,0.05868837702709458,-0.0011506813815168166,1.1562083445578084,1.3164569394598122,1.1902159147703444,0.7853981640899195,0.009650684853869914,-0.9999996658522164,0.8825932787044649,-0.3016425930299035,11421.001100171212,23.866466305517896,85.53060323017127,-0.2159689565096011,-0.0014128849748642341,-0.01440144470370628,8.0,0.05887135279921224,-0.00506197560096746
2016-04-18 ,36.21210633419648,36.908168775444416,36.21210633419648,36.857852935791016,4268800,0.0,0.0,0.06668162444367169,1.0,0.059783835786781876,0.9402161642132181,0.059783835786781876,0.006181591541133462,-0.46364761043764274,0.46364760963764273,1.3567571065124746,1.5706977915999611,-0.050607618715116084,0.9999998636166609,0.8804323284264362,-0.999999983404777,11859.438407449405,24.168390968821473,86.61223927583102,-0.2161746775160032,-0.00010286050320104656,0.0006550122358315938,9.0,-0.05879350848548168,-0.004031313850482027
2016-04-19 ,36.89978663792841,36.90817154545824,36.47208597314939,36.77399063110352,7786600,0.0,0.0,0.056681624443671697,1.0,0.08142926243252477,0.9185707375674752,0.08138812935424089,-0.00113894071674715,-1.5707856730612326,1.5707856710612327,-0.7853981658206759,0.7853981648206759,0.03285786135777419,-0.9999998633979295,0.8371826082132343,0.9999999880189991,11212.875327845377,23.720432040390783,85.00744155957483,-0.19974697531962304,0.008213851098190075,0.004158355800695561,8.0,0.05898287874724796,-0.05883243064234696
2016-04-20 ,37.30232679479418,37.3861918599048,36.488853258409385,36.87462615966797,8693500,0.0,0.0,0.04668162444367169,1.0,0.03975934268447957,0.9602406573155204,0.03975934268447957,0.0013664279513944126,-0.785398164943429,0.785398163943429,-1.5357341909305746,1.5357341889330325,-0.005089482251239184,0.9999996008573055,0.9204813146310409,-0.999999973647695,10812.286142096309,23.43418179615647,83.9819652917158,-0.18487522038152768,0.007435877469047683,-0.0003889868145711961,9.0,-0.05879381536277673,0.05888819361636482
2016-04-21 ,36.71527968991708,37.1681413893051,36.55594088418784,36.79914474487305,6171500,0.0,0.0,0.03668162444367169,1.0,0.03124271924018637,0.9687572807598136,0.03122852524047509,-0.0010245357861853308,0.5375639613992519,0.7853981648207483,-1.094337209936277,1.094337206777663,0.0027374508149793685,-0.9999995817587837,0.9375287555193386,0.9999998722360517,10950.41753492869,23.533673889049116,84.33838991385306,-0.19116013804720736,-0.0031424588328398395,-0.005289168150943761,8.0,0.05885903313875534,-0.05888834705501235
2016-04-22 ,36.66496535699433,37.04234692280819,36.66496535699433,36.96687316894531,4691800,0.0,0.0,0.026681624443671698,1.0,0.029188767767788195,0.9708112322322118,0.029188767767788195,0.002273789867147561,0.3416028202627502,0.7853981666239144,-0.3892942471599969,0.38929424629571346,-0.013384009496587333,0.99999969681596,0.9416224644644235,-0.9999999379708836,10641.484008760315,23.30997844373864,83.53701480110666,-0.17706348462527763,0.007048326710964864,0.005095392771902352,9.0,-0.05879680506520393,0.058826424250766035
2016-04-25 ,36.90815734863281,37.06749932253639,36.74043366954879,36.90815734863281,4136800,0.0,0.0,0.01668162444367169,1.0,0.0185901112644344,0.9814098887355656,0.01858356179609071,-0.0007947992698091532,0.7853981678655497,1.1072777713756239,-0.5880835605505208,0.5880835593194527,0.018815633063886464,-0.9999996741174431,0.9628263269394749,0.9999999689437556,11716.269826617101,24.070630770724183,86.26201579010959,-0.21075831545079834,-0.016847415412760358,-0.011947871061862611,8.0,0.058882521362114276,-0.05882791910197964
2016-04-26 ,37.033960500500285,37.10943745039829,36.69850667892589,36.79914474487305,3372700,0.0,0.0,0.006681624443671694,1.0,0.010914111288411838,0.9890858887115882,0.010906948137737352,-0.0014789932701846974,0.7853981714147643,0.43656555019672805,0.43666732894427807,0.8622258326866142,-0.01134850618470278,-0.300904188679063,0.9781789405738508,-0.9999999668480524,18099.73075973216,27.82987363861623,99.72971298404282,-0.3588122414903417,-0.07402696301977167,-0.028589773803505657,7.0,-0.05880280533453867,0.058839663213659105
2016-04-27 ,36.841075447848496,36.89977938639687,36.63980251630782,36.7572135925293,5035100,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.0005700547619746507,0.2213229348794495,0.7853981642223045,0.6769350048510377,1.1525937649562215,-0.010251255025418134,0.44359041386734444,1.0,0.05079922401972148,22251.626541450092,29.81479404972715,106.8410043316023,-0.42883875710908925,-0.03501325780937378,0.019506852605198945,6.0,-0.06662291198891322,-0.05884266334832647
2016-04-28 ,33.6123332726917,34.96252654592574,33.5368563519039,33.897464752197266,54527700,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.040475010393214446,0.05714218614905764,1.5691226044095794,0.035699112655150314,1.5454743576541459,-0.0,-0.9722229580617898,1.0,0.999999902450978,24742.898708886692,30.889143862827606,110.69007814305934,-0.54522927359746,-0.058195258244185366,-0.011591000217405792,5.0,-0.07690364654927849,-0.003910053327187277
2016-04-29 ,33.85555459867375,33.86394270563965,32.35440656344909,32.62276840209961,30646800,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.019162535812839634,0.02759145906053594,1.374773317699991,0.025635408517723716,1.559735845938351,-0.0,0.3573667191029494,1.0,0.0,1648.3341138770186,12.499677687073468,44.81595313217733,0.3208769459973407,0.4330531097974003,0.24562418402079284,4.0,-0.08917416467481884,-0.005140367280182634
2016-05-02 ,32.580833435058594,32.807264330484436,32.22022162372767,32.580833435058594,21292300,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.0006431388122660081,0.024385409171411066,1.2164502023971888,0.1897572062706373,1.1517160909909814,-0.0,0.9350550494272696,1.0,0.0,1625.6434115197005,12.441810377277738,44.60874148977969,0.3242279626370122,0.0016755083198357612,-0.21568880073878227,3.0,-0.11013929282258395,-0.006135259062770175
2016-05-03 ,32.53890057495073,32.564061694594095,32.04410787696723,32.32924270629883,18241600,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.0038759888096859697,0.028833776532311256,1.1059939913951253,0.03980773253417392,0.7853981645946386,-0.0,-0.715370211353616,1.0,0.0,1766.5833810818508,12.792934514240756,45.866067353637405,0.28866286870576674,-0.01778254696562273,-0.009729027642729246,2.0,-0.14281642674130565,-0.010482564073882553
2016-05-04 ,32.16151831307631,32.253768294433115,31.86799855341868,31.951860427856445,13975300,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.00587081210561652,0.01922839914243672,1.4505872753597369,0.033870431299258666,1.1381647802284607,-0.0,-0.2046643928198311,1.0,0.0,1805.2178350633503,12.885896590969505,46.19895849874766,0.26968506833837663,-0.009488900183695054,0.0041468233909638386,1.0,-0.19965465914752256,-0.016338566959360853
2016-05-05 ,32.10280781417069,32.480192570428535,31.951853911667556,32.28730773925781,16531000,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.005221850172915091,1.2160585136921092,0.46364761036740115,1.1838939514299407,0.9332788121977513,-0.0,0.999999909850324,1.0,0.0,1817.1930867827336,12.914441282481592,46.301175756314706,0.2779174439774737,0.0041161878195485335,0.006802544001621794,2.0,-0.33245873549890953,-0.028419116203108455
2016-05-06 ,32.05250383677061,32.20345779511694,31.624799888414028,31.842845916748047,11399900,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.00693062151221185,0.04332409650028315,1.478503696463349,0.036664935422632404,0.785398163628638,0.0,-0.99999991771222,1.0,0.0,1838.4536889382427,12.964810885031586,46.48154768860679,0.26016561766709567,-0.008875913155189014,-0.0064960504873687736,1.0,0.3340973276711095,-0.06640203817569348
2016-05-09 ,31.96024023766375,32.35439798327101,31.76735541723085,31.85121726989746,11156200,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.00013143066607139065,0.9723768463602395,0.5485880948844997,0.7853981656074975,0.5743415914807508,-0.0,0.9999998583981209,1.0,-0.0,1856.8263417860721,13.008026017966221,46.636300349912034,0.25710271596960776,-0.0015314508487439538,0.00367223115322253,2.0,-0.3322990929357171,0.3332780315850095
